team,team_code,association,rank,previous_rank,points,previous_points
Brazil,BRA,CONMEBOL,1,1,1840.11,1840.11
Argentina,ARG,CONMEBOL,2,2,1838.38,1838.38
France,FRA,UEFA,3,3,1823.38,1823.38
Belgium,BEL,UEFA,4,4,1792.64,1792.64
England,ENG,UEFA,5,5,1791.30,1791.30
Netherlands,NED,UEFA,6,6,1731.23,1731.23
Croatia,CRO,UEFA,7,7,1727.62,1727.62
Italy,ITA,UEFA,8,8,1723.31,1723.31
Portugal,POR,UEFA,9,9,1718.25,1718.25
Spain,ESP,UEFA,10,10,1705.06,1705.06
Mexico,MEX,CONCACAF,11,11,1672.92,1672.92
United States,USA,CONCACAF,12,12,1670.04,1670.04
Germany,GER,UEFA,13,13,1664.27,1664.27
Switzerland,SUI,UEFA,14,14,1648.61,1648.61
Denmark,DEN,UEFA,15,15,1631.55,1631.55
Uruguay,URU,CONMEBOL,16,16,1627.45,1627.45
Sweden,SWE,UEFA,17,17,1619.32,1619.32
Wales,WAL,UEFA,18,18,1616.28,1616.28
Senegal,SEN,CAF,19,19,1609.98,1609.98
Japan,JPN,AFC,20,20,1593.08,1593.08
